id,raceId,constructorId,grid,positionOrder,points,statusId
0,18,1,1,1,10.0,1
1,18,2,5,2,8.0,1
2,18,3,7,3,6.0,1
3,18,4,11,4,5.0,1
4,18,1,3,5,4.0,1
5,18,3,13,6,3.0,11
6,18,5,17,7,2.0,5
7,18,6,15,8,1.0,5
22,19,6,2,1,10.0,1
23,19,2,4,2,8.0,1
24,19,1,8,3,6.0,1
25,19,7,3,4,5.0,1
26,19,1,9,5,4.0,1
27,19,2,5,6,3.0,1
28,19,9,6,7,2.0,1
29,19,4,7,8,1.0,1
30,19,9,12,9,0.0,1
31,19,11,11,10,0.0,1
32,19,4,13,11,0.0,1
33,19,10,17,12,0.0,11
34,19,11,14,13,0.0,11
35,19,3,16,14,0.0,11
36,19,8,21,15,0.0,11
37,19,8,19,16,0.0,12
38,19,3,22,17,0.0,12
44,20,6,2,1,10.0,1
45,20,6,4,2,8.0,1
46,20,2,1,3,6.0,1
47,20,2,6,4,5.0,1
48,20,1,5,5,4.0,1
49,20,7,7,6,3.0,1
50,20,9,11,7,2.0,1
51,20,3,8,8,1.0,1
52,20,7,13,9,0.0,1
53,20,4,10,10,0.0,1
54,20,11,12,11,0.0,1
55,20,10,18,12,0.0,11
56,20,1,3,13,0.0,11
57,20,3,16,14,0.0,11
58,20,5,15,15,0.0,11
59,20,8,21,16,0.0,11
60,20,8,22,17,0.0,11
61,20,9,17,18,0.0,11
62,20,10,20,19,0.0,12
66,21,6,1,1,10.0,1
67,21,6,3,2,8.0,1
68,21,1,5,3,6.0,1
69,21,2,4,4,5.0,1
70,21,9,7,5,4.0,1
71,21,11,13,6,3.0,1
72,21,3,12,7,2.0,1
73,21,7,8,8,1.0,1
74,21,2,9,9,0.0,1
75,21,10,19,10,0.0,11
76,21,7,14,11,0.0,11
77,21,9,17,12,0.0,11
78,21,8,22,13,0.0,11
88,22,6,1,1,10.0,1
89,22,1,3,2,8.0,1
90,22,6,4,3,6.0,1
91,22,2,5,4,5.0,1
92,22,2,9,5,4.0,1
93,22,4,7,6,3.0,1
94,22,9,6,7,2.0,1
95,22,3,11,8,1.0,1
96,22,9,10,9,0.0,1
97,22,7,8,10,0.0,1
98,22,11,13,11,0.0,11
99,22,1,2,12,0.0,11
100,22,7,15,13,0.0,11
101,22,11,12,14,0.0,11
102,22,4,17,15,0.0,11
103,22,10,19,16,0.0,11
104,22,5,14,17,0.0,11
108,23,1,3,1,10.0,1
109,23,2,5,2,8.0,1
110,23,6,1,3,6.0,1
111,23,9,9,4,5.0,1
112,23,5,19,5,4.0,1
113,23,11,14,6,3.0,1
114,23,3,13,7,2.0,1
115,23,1,4,8,1.0,1
116,23,6,2,9,0.0,1
117,23,4,7,10,0.0,11
118,23,11,11,11,0.0,11
119,23,7,10,12,0.0,11
120,23,7,8,13,0.0,11
121,23,2,12,14,0.0,14
128,24,2,2,1,10.0,1
129,24,2,8,2,8.0,1
130,24,9,13,3,6.0,1
131,24,7,11,4,5.0,1
132,24,6,6,5,4.0,1
133,24,7,14,6,3.0,1
134,24,11,9,7,2.0,1
135,24,5,19,8,1.0,1
136,24,1,7,9,0.0,1
137,24,3,5,10,0.0,1
138,24,11,20,11,0.0,1
139,24,9,10,12,0.0,1
140,24,5,18,13,0.0,11
148,25,6,2,1,10.0,1
149,25,6,1,2,8.0,1
150,25,7,4,3,6.0,1
151,25,1,10,4,5.0,1
152,25,2,5,5,4.0,1
153,25,9,6,6,3.0,1
154,25,4,9,7,2.0,1
155,25,4,3,8,1.0,1
156,25,9,7,9,0.0,1
157,25,1,13,10,0.0,1
158,25,7,8,11,0.0,1
159,25,5,12,12,0.0,1
160,25,2,11,13,0.0,1
161,25,11,20,14,0.0,11
